competition_category,group,official_name,alias
Sub-12,8,CLUBE VITAL ACADEMIA DE FUTEBOL SAF,CLUBE VITAL SAF
Sub-12,8,ESPORTE CLUBE SÃO BENTO,EC SÃO BENTO
Sub-12,8,GRÊMIO OSASCO AUDAX ESPORTE CLUBE,GO AUDAX
Sub-12,8,REFERÊNCIA FUTEBOL CLUBE SAF,REFERÊNCIA FC SAF
Sub-12,8,SALTO FUTEBOL CLUBE,SALTO FC
Sub-12,8,SÃO PAULO FUTEBOL CLUBE,SÃO PAULO FC
Sub-12,8,VOTORATY FUTEBOL CLUBE LTDA.,VOTORATY FC
Sub-12,9,ACADEMIA DESPORTIVA MANTHIQUEIRA FUTEBOL LTDA.,AD MANTHIQUEIRA
Sub-12,9,CLUBE ATLÉTICO MOGI DAS CRUZES DE FUTEBOL LTDA.,CA ATLÉTICO MOGI
Sub-12,9,ESPORTE CLUBE TAUBATÉ,EC TAUBATÉ
Sub-12,9,ESPORTE CLUBE UNIÃO SUZANO SAF,ECUS SAF
Sub-12,9,FUTEBOL CLUBE PRIMEIRA CAMISA,FC PRIMEIRA CAMISA
Sub-12,9,SÃO JOSÉ ESPORTE CLUBE SAF,SÃO JOSÉ EC SAF
Sub-12,9,SPORT CLUB CORINTHIANS PAULISTA,SC CORINTHIANS PTA
Sub-12,9,UNIÃO SUZANO ATLÉTICO CLUBE,UNIÃO SUZANO AC
Sub-12,10,ASSOCIAÇÃO ATLÉTICA PORTUGUESA,AA PORTUGUESA
Sub-12,10,BARCELONA ESPORTIVO CAPELA LTDA.,BARCELONA EC
Sub-12,10,ESPORTE CLUBE SÃO BERNARDO SAF,EC SÃO BERNARDO SAF
Sub-12,10,GRÊMIO ESPORTIVO MAUAENSE,GE MAUAENSE
Sub-12,10,JABAQUARA ATLÉTICO CLUBE,JABAQUARA AC
Sub-12,10,MAUÁ FUTEBOL TREINAMENTOS E ESPORTES LTDA.,MAUÁ FUTEBOL TE
Sub-12,10,SANTOS FUTEBOL CLUBE,SANTOS FC
Sub-12,10,SÃO CAETANO FUTEBOL LTDA.,SÃO CAETANO FL
