competition_id,category,round,match_number,date,weekday,time,home_alias,home_official,away_alias,away_official,venue,status,raw_line
paulista_sub11_2026,Sub-11,1,30,28/mar,sáb,14 h 30,SÃO JOSÉ EC SAF,SÃO JOSÉ ESPORTE CLUBE SAF,AD MANTHIQUEIRA,ACADEMIA DESPORTIVA MANTHIQUEIRA FUTEBOL LTDA.,São José dos Campos,scheduled,030 28/mar - sáb 14 h 30 SÃO JOSÉ EC SAF X AD MANTHIQUEIRA São José dos Campos
paulista_sub11_2026,Sub-11,1,31,28/mar,sáb,14 h 30,CA ATLÉTICO MOGI,CLUBE ATLÉTICO MOGI DAS CRUZES DE FUTEBOL LTDA.,FC PRIMEIRA CAMISA,FUTEBOL CLUBE PRIMEIRA CAMISA,Mogi das Cruzes,scheduled,031 28/mar - sáb 14 h 30 CA ATLÉTICO MOGI X FC PRIMEIRA CAMISA Mogi das Cruzes
paulista_sub11_2026,Sub-11,1,32,28/mar,sáb,14 h 30,BARCELONA EC,BARCELONA ESPORTIVO CAPELA LTDA.,SÃO CAETANO FL,SÃO CAETANO FUTEBOL LTDA.,São Caetano do Sul,scheduled,032 28/mar - sáb 14 h 30 BARCELONA EC X SÃO CAETANO FL São Caetano do Sul
paulista_sub11_2026,Sub-11,1,33,28/mar,sáb,14 h 30,MAUÁ FUTEBOL TE,MAUÁ FUTEBOL TREINAMENTOS E ESPORTES LTDA.,EC SÃO BERNARDO SAF,ESPORTE CLUBE SÃO BERNARDO SAF,Mauá,scheduled,033 28/mar - sáb 14 h 30 MAUÁ FUTEBOL TE X EC SÃO BERNARDO SAF Mauá
paulista_sub11_2026,Sub-11,1,34,28/mar,sáb,14 h 30,AA PORTUGUESA,ASSOCIAÇÃO ATLÉTICA PORTUGUESA,GE MAUAENSE,GRÊMIO ESPORTIVO MAUAENSE,Santos,scheduled,034 28/mar - sáb 14 h 30 AA PORTUGUESA X GE MAUAENSE Santos
paulista_sub11_2026,Sub-11,1,35,29/mar,dom,14 h 30,AA INTER BEBEDOURO,ASSOCIAÇÃO ATLÉTICA INTERNACIONAL BEBEDOURO,AA FRANCANA,ASSOCIAÇÃO ATLÉTICA FRANCANA,Bebedouro,scheduled,035 29/mar - dom 14 h 30 AA INTER BEBEDOURO X AA FRANCANA Bebedouro
paulista_sub11_2026,Sub-11,1,36,29/mar,dom,14 h 30,SÃO CARLOS FL,SÃO CARLOS FUTEBOL LTDA.,AE VELO CLUBE,ASSOCIAÇÃO ESPORTIVA VELO CLUBE RIOCLARENSE - RIO CLARO,São Carlos,scheduled,036 29/mar - dom 14 h 30 SÃO CARLOS FL X AE VELO CLUBE São Carlos
paulista_sub11_2026,Sub-11,1,37,29/mar,dom,14 h 30,UNIÃO SUZANO AC,UNIÃO SUZANO ATLÉTICO CLUBE,ECUS SAF,ESPORTE CLUBE UNIÃO SUZANO SAF,Suzano,scheduled,037 29/mar - dom 14 h 30 UNIÃO SUZANO AC X ECUS SAF Suzano
paulista_sub11_2026,Sub-11,1,38,29/mar,dom,14 h 30,EC TAUBATÉ,ESPORTE CLUBE TAUBATÉ,SC CORINTHIANS PTA,SPORT CLUB CORINTHIANS PAULISTA,Taubaté,scheduled,038 29/mar - dom 14 h 30 EC TAUBATÉ X SC CORINTHIANS PTA Taubaté
paulista_sub11_2026,Sub-11,1,39,29/mar,dom,14 h 30,JABAQUARA AC,JABAQUARA ATLÉTICO CLUBE,SANTOS FC,SANTOS FUTEBOL CLUBE,Santos,scheduled,039 29/mar - dom 14 h 30 JABAQUARA AC X SANTOS FC Santos
paulista_sub11_2026,Sub-11,2,40,11/abr,sáb,14 h 30,MIRASSOL FC,MIRASSOL FUTEBOL CLUBE,JOSÉ BONIFÁCIO EC,JOSÉ BONIFÁCIO ESPORTE CLUBE,Bálsamo,scheduled,040 11/abr - sáb 14 h 30 MIRASSOL FC X JOSÉ BONIFÁCIO EC Bálsamo
paulista_sub11_2026,Sub-11,2,41,11/abr,sáb,14 h 30,ARAÇATUBA FC SAF,ARAÇATUBA FUTEBOL CLUBE SAF,OLÍMPIA FC,OLÍMPIA FUTEBOL CLUBE,Araçatuba,scheduled,041 11/abr - sáb 14 h 30 ARAÇATUBA FC SAF X OLÍMPIA FC Araçatuba
paulista_sub11_2026,Sub-11,2,42,11/abr,sáb,14 h 30,CA PENAPOLENSE,CLUBE ATLÉTICO PENAPOLENSE,CA LINENSE,CLUBE ATLÉTICO LINENSE,Penápolis,scheduled,042 11/abr - sáb 14 h 30 CA PENAPOLENSE X CA LINENSE Penápolis
paulista_sub11_2026,Sub-11,2,43,11/abr,sáb,14 h 30,SANTA FÉ FC,SANTA FÉ FUTEBOL CLUBE LTDA.,GR. CATANDUVENSE,GRÊMIO CATANDUVENSE DE FUTEBOL,Santa Fé do Sul,scheduled,043 11/abr - sáb 14 h 30 SANTA FÉ FC X GR. CATANDUVENSE Santa Fé do Sul
paulista_sub11_2026,Sub-11,2,44,11/abr,sáb,14 h 30,TUPÃ FC,TUPÃ FUTEBOL CLUBE,AA ITARARÉ,ASSOCIAÇÃO ATLÉTICA ITARARÉ,Tupã,scheduled,044 11/abr - sáb 14 h 30 TUPÃ FC X AA ITARARÉ Tupã
paulista_sub11_2026,Sub-11,2,45,11/abr,sáb,14 h 30,MARÍLIA AC,MARÍLIA ATLÉTICO CLUBE,EC NOROESTE SAF,ESPORTE CLUBE NOROESTE SAF,Marília,scheduled,045 11/abr - sáb 14 h 30 MARÍLIA AC X EC NOROESTE SAF Marília
paulista_sub11_2026,Sub-11,2,46,11/abr,sáb,14 h 30,CA ASSISENSE,CLUBE ATLÉTICO ASSISENSE,EC XV DE JAÚ,ESPORTE CLUBE XV DE NOVEMBRO,Assis,scheduled,046 11/abr - sáb 14 h 30 CA ASSISENSE X EC XV DE JAÚ Assis
paulista_sub11_2026,Sub-11,2,47,11/abr,sáb,14 h 30,BOTAFOGO S/A,BOTAFOGO FUTEBOL S/A,BATATAIS FC,BATATAIS FUTEBOL CLUBE,Ribeirão Preto,scheduled,047 11/abr - sáb 14 h 30 BOTAFOGO S/A X BATATAIS FC Ribeirão Preto
paulista_sub11_2026,Sub-11,2,48,11/abr,sáb,14 h 30,LG FUTEBOL CLUBE,LG FUTEBOL CLUBE LTDA.,I9 FUTEBOL CLUBE,I9 INTERNACIONAL ACADEMY,Serrana,scheduled,048 11/abr - sáb 14 h 30 LG FUTEBOL CLUBE X I9 FUTEBOL CLUBE Serrana
paulista_sub11_2026,Sub-11,2,49,11/abr,sáb,14 h 30,BARRETOS EC,BARRETOS ESPORTE CLUBE,AA INTER BEBEDOURO,ASSOCIAÇÃO ATLÉTICA INTERNACIONAL BEBEDOURO,Barretos,scheduled,049 11/abr - sáb 14 h 30 BARRETOS EC X AA INTER BEBEDOURO Barretos
paulista_sub11_2026,Sub-11,2,50,11/abr,sáb,14 h 30,AA FRANCANA,ASSOCIAÇÃO ATLÉTICA FRANCANA,COMERCIAL FC - RP,COMERCIAL FUTEBOL CLUBE,Franca,scheduled,050 11/abr - sáb 14 h 30 AA FRANCANA X COMERCIAL FC - RP Franca
paulista_sub11_2026,Sub-11,2,51,11/abr,sáb,14 h 30,AE VELO CLUBE,ASSOCIAÇÃO ESPORTIVA VELO CLUBE RIOCLARENSE - RIO CLARO,SE MATONENSE,SOCIEDADE ESPORTIVA MATONENSE,Rio Claro,scheduled,051 11/abr - sáb 14 h 30 AE VELO CLUBE X SE MATONENSE Rio Claro
paulista_sub11_2026,Sub-11,2,52,11/abr,sáb,14 h 30,PALMEIRAS FC,PALMEIRAS FUTEBOL CLUBE,SÃO CARLOS FL,SÃO CARLOS FUTEBOL LTDA.,São João da Boa Vista,scheduled,052 11/abr - sáb 14 h 30 PALMEIRAS FC X SÃO CARLOS FL São João da Boa Vista
